 Ay     Gün   Yükleme   İndirme
Nisan    11    231.69    484.04
Nisan    12    51.428    662.84
Nisan    13    97.718    862.94
Nisan    14    371.42    904.86
Nisan    15    209.18    974.48
Nisan    16    294.42    705.44
Nisan    17    104.03    539.14
Nisan    18    270.39    647.99
Nisan    19    31.111    113.51
Nisan    20    160.83    958.78
Nisan    21    87.196    424.53
Nisan    22    327.55    726.67
Nisan    23    425.21    785.25
Nisan    24    197.97    326.29
Nisan    25    476.76    835.33
Nisan    26    488.07    464.50
Nisan    27    129.43    154.17
Nisan    28    24.887    480.46
Nisan    29    454.87    791.17
Nisan    30    165.34    382.95
Mayis    01    372.41    907.72
Mayis    02    493.68    938.37
Mayis    03    198.85    566.66
Mayis    04    274.80    485.63
Mayis    05    271.42    863.39
Mayis    06    197.51    721.95
Mayis    07    112.32    127.66
Mayis    08    199.80    150.55
Mayis    09    398.14    793.88
Mayis    10    160.73    770.22
Mayis    11    298.12    354.94
Mayis    12    83.353    848.57
Mayis    13    178.29    262.06
Mayis    14    134.70    326.21
Mayis    15    474.53    614.37
Mayis    16    287.21    718.88
Mayis    17    239.80    597.56
Mayis    18    313.39    868.95
Mayis    19    44.966    243.60
Mayis    20    148.60    644.38
Mayis    21    13.811    698.99
Mayis    22    155.00    294.93
Mayis    23    351.18    714.95
Mayis    24    143.65    539.56
Mayis    25    232.58    622.33
Mayis    26    124.22    138.03
Mayis    27    433.18    444.50
Mayis    28    438.26    286.37
Mayis    29    285.79    215.64
Mayis    30    234.63    559.79
Mayis    31    353.00    121.74
Haziran    01    107.27    252.10
Haziran    02    292.73    835.91
Haziran    03    21.461    683.51
Haziran    04    488.85    375.62
Haziran    05    134.07    986.51
Haziran    06    486.18    594.21
Haziran    07    108.78    701.26
Haziran    08    123.87    526.92
Haziran    09    86.671    717.98
Haziran    10    36.811    450.61
Haziran    11    367.16    926.52
Haziran    12    388.45    642.62
Haziran    13    71.416    401.68
Haziran    14    368.39    625.46
Haziran    15    424.58    488.27
Haziran    16    307.92    140.13
Haziran    17    304.20    266.50
Haziran    18    432.51    661.40
Haziran    19    418.34    855.55
Haziran    20    465.71    177.89
Haziran    21    414.01    911.64
Haziran    22    321.48    123.50
Haziran    23    289.25    881.25
Haziran    24    255.23    753.73
Haziran    25    281.81    599.67
Haziran    26    66.816    355.25
Haziran    27    242.03    899.46
Haziran    28    444.39    639.07
Haziran    29    119.51    656.12
Haziran    30    99.58    162.60
Temmuz    01    34.107    11.73
Temmuz    02    65.093    84.75
Temmuz    03    48.15    78.77
Temmuz    04    14.02    28.24
Temmuz    05    09.80    23.18
Temmuz    06    44.89    66.38
Temmuz    07    61.062    57.23
Temmuz    08    33.60    71.72
Temmuz    09    59.72    25.30
Temmuz    10    96.79    58.72
Temmuz    11    33.87    59.78
Temmuz    12    12.49    26.15
Temmuz    13    20.85    11.82
Temmuz    14    34.40    86.37
Temmuz    15    36.66    90.75
Temmuz    16    32.44    12.33
Temmuz    17    36.48    31.71
Temmuz    18    22.19    62.72
Temmuz    19    36.82    43.24
Temmuz    20    21.11    44.80
Temmuz    21    45.94    250.09
Temmuz    22    193.42    611.24
Temmuz    23    460.37    21.07
Temmuz    24    38.43    41.79
Temmuz    25    48.869   919.40
Temmuz    26    13.61    21.34
Temmuz    27    321.31   321.31
Temmuz    28    48.64    611.43
Temmuz    29    30.98    12.72
Temmuz    30    30.03    44.24
Temmuz    31    317.01    41.78
Agustos    01    122.47    583.96
Agustos    02    90.849    703.66
Agustos    03    148.11    958.97
Agustos    04    198.87    851.63
Agustos    05    284.28    373.33
Agustos    06    149.23    824.96
Agustos    07    170.38    338.03
Agustos    08    361.73    123.53
Agustos    09    325.68    817.40
Agustos    10    72.032    980.34
Agustos    11    303.31    770.13
Agustos    12    279.40    636.23
Agustos    13    386.51    321.11
Agustos    14    199.98    479.36
Agustos    15    345.02    241.42
Agustos    16    389.01    921.92
Agustos    17    350.48    944.63
Agustos    18    296.15    979.05
Agustos    19    447.51    972.49
Agustos    20    407.82    507.37
Agustos    21    143.83    186.40
Agustos    22    136.49    640.39
Agustos    23    186.64    978.36
Agustos    24    317.03    104.27
Agustos    25    388.80    777.86
Agustos    26    491.62    434.50
Agustos    27    253.91    579.41
Agustos    28    484.07    339.54
Agustos    29    391.39    419.68
Agustos    30    346.96    515.87
Agustos    31    261.04    515.04
Eylul    01    193.91    286.47
Eylul    02    205.82    963.37
Eylul    03    100.12    363.26
Eylul    04    465.08    996.21
Eylul    05    375.12    281.68
Eylul    06    54.988    102.97
Eylul    07    403.13    507.05
Eylul    08    489.83    486.00
Eylul    09    233.94    777.09
Eylul    10    99.210    495.92
Eylul    11    70.760    711.85
Eylul    12    486.57    182.33
Eylul    13    473.54    775.86
Eylul    14    228.87    670.29
Eylul    15    114.38    963.11
Eylul    16    56.461    629.51
Eylul    17    91.443    545.00
Eylul    18    278.35    415.11
Eylul    19    395.61    528.75
Eylul    20    179.49    578.89
Eylul    21    342.34    493.93
Eylul    22    272.35    532.50
Eylul    23    446.09    563.19
Eylul    24    455.62    412.29
Eylul    25    140.82    182.35
Eylul    26    395.58    451.87
Eylul    27    387.95    783.55
Eylul    28    246.40    745.59
Eylul    29    260.12    936.21
Eylul    30    181.98    751.13
Ekim    01    445.18    501.22
Ekim    02    162.79    148.90
Ekim    03    470.72    873.53
Ekim    04    208.18    754.47
Ekim    05    174.57    775.33
Ekim    06    137.05    112.70
Ekim    07    102.15    815.22
Ekim    08    252.39    170.23
Ekim    09    161.58    463.69
Ekim    10    218.27    618.68
Ekim    11    252.85    290.74
Ekim    12    483.97    340.25
Ekim    13    486.00    504.75
Ekim    14    492.29    533.70
Ekim    15    195.63    401.72
Ekim    16    110.63    340.27
Ekim    17    392.71    565.47
Ekim    18    167.44    749.15
Ekim    19    194.56    753.19
Ekim    20    229.75    741.27
Ekim    21    243.30    736.98
Ekim    22    366.05    697.77
Ekim    23    256.20    299.18
Ekim    24    373.69    830.61
Ekim    25    316.45    250.54
Ekim    26    200.17    208.92
Ekim    27    195.81    419.85
Ekim    28    200.10    415.57
Ekim    29    404.50    435.00
Ekim    30    417.94    265.55
Ekim    31    356.66    134.09
Kasim    01    230.95    539.66
Kasim    02    281.98    795.00
Kasim    03    112.79    938.55
Kasim    04    254.01    692.42
Kasim    05    325.68    976.70
Kasim    06    189.34    433.80
Kasim    07    322.77    881.60
Kasim    08    300.17    442.49
Kasim    09    343.31    295.84
Kasim    10    278.42    161.50
Kasim    11    175.92    934.30
Kasim    12    217.62    753.92
Kasim    13    146.04    305.95
Kasim    14    58.416    199.14
Kasim    15    212.26    825.64
Kasim    16    82.547    877.33
Kasim    17    154.44    732.79
Kasim    18    321.60    554.10
Kasim    19    321.07    220.51
Kasim    20    89.776    351.17
Kasim    21    62.939    575.92
Kasim    22    328.48    771.69
Kasim    23    204.65    317.94
Kasim    24    72.168    169.73
Kasim    25    235.28    707.20
Kasim    26    81.457    818.54
Kasim    27    304.82    612.59
Kasim    28    267.23    891.38
Kasim    29    401.20    661.38
Kasim    30    494.84    290.04
Aralik    01    220.71    223.76
Aralik    02    46.683    752.32
Aralik    03    421.90    739.69
Aralik    04    122.38    527.90
Aralik    05    423.89    452.94
Aralik    06    379.72    957.42
Aralik    07    461.27    464.04
Aralik    08    352.52    386.38
Aralik    09    326.85    843.30
Aralik    10    203.88    195.75
Aralik    11    255.27    587.35
Aralik    12    453.34    192.00
Aralik    13    64.412    486.75
Aralik    14    490.95    918.47
Aralik    15    36.219    973.90
Aralik    16    69.087    535.16
Aralik    17    63.176    275.87
Aralik    18    112.07    954.22
Aralik    19    454.03    493.90
Aralik    20    218.04    775.77
Aralik    21    416.61    261.19
Aralik    22    354.74    775.69
Aralik    23    295.95    462.31
Aralik    24    43.794    307.19
Aralik    25    121.94    518.18
Aralik    26    174.94    756.10
Aralik    27    13.012    317.24
Aralik    28    417.30    205.46
Aralik    29    338.84    831.48
Aralik    30    23.038    752.13
Aralik    31    394.05    232.44
